LODE,08 24 2021,0.65,0.73,0.64,0.7,1408000
LPZ,08 24 2021,3.01,3.02,3.01,3.02,1015000
LTG,08 24 2021,9.23,9.4,9.15,9.19,4068500
MHC,08 24 2021,0.475,0.49,0.475,0.49,14000
MJIC,08 24 2021,1.4,1.48,1.4,1.48,48000
MPI,08 24 2021,3.83,3.88,3.8,3.88,18061000
PRIM,08 24 2021,2.13,2.15,2.1,2.15,479000
REG,08 24 2021,2.6,2.6,2.6,2.6,1000
SM,08 24 2021,967.5,987.0,967.5,987.0,162460
SMC,08 24 2021,112.0,112.3,110.7,110.7,170210
SOC,08 24 2021,0.7,0.76,0.67,0.67,32000
SPM,08 24 2021,2.2,2.2,2.2,2.2,30000
TFHI,08 24 2021,133.1,133.1,133.1,133.1,300000
WIN,08 24 2021,0.255,0.265,0.255,0.26,1330000
ALCO,08 24 2021,0.66,0.69,0.66,0.67,370000
ALHI,08 24 2021,7.69,7.69,7.69,7.69,200
ALI,08 24 2021,33.7,33.8,33.4,33.7,5199500
ARA,08 24 2021,1.11,1.11,1.11,1.11,63000
AREIT,08 24 2021,37.2,37.2,36.8,36.8,141300
BEL,08 24 2021,1.44,1.44,1.41,1.41,22000
BRN,08 24 2021,0.86,0.87,0.85,0.86,163000
CDC,08 24 2021,0.79,0.79,0.78,0.79,173000
CEI,08 24 2021,0.128,0.129,0.126,0.126,850000
CHI,08 24 2021,6.1,6.1,6.1,6.1,100
CLI,08 24 2021,3.12,3.2,3.1,3.15,1902000
CPG,08 24 2021,0.44,0.45,0.43,0.44,18820000
DD,08 24 2021,10.18,10.18,10.12,10.16,283800
DDMPR,08 24 2021,1.87,1.87,1.84,1.84,9239000
DMW,08 24 2021,7.0,7.0,6.95,6.98,14700
ELI,08 24 2021,0.29,0.29,0.285,0.285,200000
EVER,08 24 2021,0.41,0.44,0.395,0.415,108170000
FILRT,08 24 2021,7.2,7.25,7.14,7.14,4666900
FLI,08 24 2021,1.1,1.11,1.09,1.11,3580000
GERI,08 24 2021,0.86,0.88,0.86,0.88,11000
HOUSE,08 24 2021,7.4,7.4,7.4,7.4,300
IRC,08 24 2021,1.32,1.34,1.29,1.32,680000
KEP,08 24 2021,3.23,3.47,3.23,3.46,27000
LAND,08 24 2021,1.39,1.39,1.32,1.32,305000
MEG,08 24 2021,2.91,2.94,2.9,2.9,8622000
MRC,08 24 2021,0.305,0.315,0.3,0.315,14760000
PHES,08 24 2021,0.54,0.59,0.54,0.58,27166000
PRMX,08 24 2021,1.92,1.92,1.92,1.92,1000
RLC,08 24 2021,17.0,17.0,16.5,16.84,5572500
RLT,08 24 2021,0.27,0.28,0.27,0.275,1260000
SHNG,08 24 2021,2.67,2.67,2.55,2.64,221000
SLI,08 24 2021,3.05,3.06,3.0,3.04,98000
SMPH,08 24 2021,33.8,33.8,32.9,33.45,4125700
SUN,08 24 2021,1.57,1.59,1.56,1.59,67000
VLL,08 24 2021,3.48,3.5,3.44,3.48,226000
ABS,08 24 2021,10.9,10.9,10.86,10.86,51500
GMA7,08 24 2021,13.6,13.88,13.5,13.84,1756700
MBC,08 24 2021,8.53,8.53,8.53,8.53,100
GLO,08 24 2021,2164.0,2280.0,2162.0,2280.0,238440
TEL,08 24 2021,1247.0,1259.0,1240.0,1248.0,119455
APL,08 24 2021,0.137,0.143,0.128,0.128,1509560000
CNVRG,08 24 2021,30.45,30.5,29.95,30.0,10356100
DFNN,08 24 2021,3.82,3.98,3.8,3.98,363000
DITO,08 24 2021,8.0,8.0,7.75,7.8,3284500
NOW,08 24 2021,2.03,2.05,2.03,2.04,651000
TBGI,08 24 2021,0.4,0.405,0.395,0.4,3800000
WEB,08 24 2021,2.25,2.25,2.21,2.25,49000
2GO,08 24 2021,8.08,8.08,8.07,8.07,27400
ATI,08 24 2021,14.0,14.0,14.0,14.0,23700
C,08 24 2021,2.58,2.6,2.55,2.6,387000
CEB,08 24 2021,44.5,44.5,44.0,44.2,172800
ICT,08 24 2021,181.0,182.5,176.5,177.3,1875850
LBC,08 24 2021,16.24,16.24,16.22,16.22,3000
LSC,08 24 2021,0.94,0.94,0.94,0.94,17000
MAC,08 24 2021,4.6,4.76,4.6,4.72,812000
MAH,08 24 2021,1.8,1.8,1.8,1.8,22000
TUGS,08 24 2021,1.05,1.07,1.03,1.04,58000
ACE,08 24 2021,1.68,1.73,1.64,1.72,195000
BHI,08 24 2021,0.106,0.109,0.104,0.104,145630000
DWC,08 24 2021,2.53,2.59,2.34,2.59,326000
WPI,08 24 2021,0.52,0.54,0.52,0.53,177000
BCOR,08 24 2021,5.5,5.5,5.4,5.5,5300
BLOOM,08 24 2021,5.95,6.18,5.95,6.09,5574400
LOTO,08 24 2021,1.97,1.97,1.95,1.95,35000
LR,08 24 2021,1.5,1.5,1.45,1.5,369000
MJC,08 24 2021,1.91,1.91,1.91,1.91,15000
PHR,08 24 2021,1.71,1.71,1.66,1.69,878000
PLC,08 24 2021,0.41,0.41,0.405,0.41,2060000
HOME,08 24 2021,7.4,7.56,7.4,7.53,2389100
